osmid,highway,lanes,name,oneway,reversed,length,speed_kph,travel_time,maxspeed,ref,geometry,width,bridge,junction,access,tunnel,edge_id,qualitativeLikelihood_high,probabilityOfOccurrence_high,returnPeriod_high,magnitudeOrIntensity_high,flooded_high,qualitativeLikelihood_medium,probabilityOfOccurrence_medium,returnPeriod_medium,magnitudeOrIntensity_medium,flooded_medium
"[147893811, 42917646]",residential,,Wallenbachstraße,False,False,428.86752599630415,30.0,51.464103119556505,30,,"LINESTRING (6.6837709 49.8042829, 6.6836464 49.8043378, 6.6834331 49.80438, 6.6832107 49.8043912, 6.6829339 49.8043965, 6.6823267 49.8045264, 6.681959 49.8045651, 6.6813597 49.8045685, 6.6813857 49.8045204, 6.6814992 49.8044625, 6.6816755 49.8044161, 6.6819567 49.8043654, 6.6822458 49.804274, 6.6825274 49.8041293, 6.6826715 49.8040547, 6.6829204 49.8040187, 6.6830506 49.8039842, 6.6831676 49.8039218, 6.6834196 49.803751, 6.6835516 49.8035962, 6.6836123 49.8033607, 6.6836412 49.8031283)",,,,,,"[147893811, 42917646]",,,,,False,,,,,False
147893811,residential,,Wallenbachstraße,False,True,159.83396075238957,30.0,19.180075290286748,30,,"LINESTRING (6.6837709 49.8042829, 6.6839358 49.8041946, 6.6841251 49.8039871, 6.6842941 49.8036757, 6.6843716 49.8036061, 6.6844761 49.8035726, 6.6852602 49.8035103, 6.6853486 49.8035033)",,,,,,147893811,,,,,False,,,,,False
42853450,unclassified,1,,True,False,59.131485763997574,47.53488372093023,4.47825537977829,,,"LINESTRING (6.6965358 49.7893925, 6.6964805 49.7893743, 6.6964383 49.789345, 6.6964225 49.7893255, 6.6964097 49.7892863, 6.6964169 49.7892496, 6.6964446 49.7892137, 6.6964896 49.7891862, 6.6965632 49.7891682, 6.6966252 49.7891696, 6.6966827 49.7891846, 6.6967288 49.7892113, 6.6967468 49.7892295, 6.6967652 49.7892677, 6.6967623 49.7893077)",,,roundabout,,,42853450,,,,,False,medium,0.01,100.0,,True
42853451,unclassified,2,Montanstraße,False,False,435.0662046839614,50.0,31.324766737245223,50,,"LINESTRING (6.6965358 49.7893925, 6.6964784 49.789604, 6.6958993 49.7912943, 6.6954864 49.7925925, 6.6953186 49.7931199, 6.6952731 49.7932187)",,,,,,42853451,,,,,False,medium,0.01,100.0,,True
211708183,residential,,Servaisstraße,False,False,551.9461129152972,30.0,66.23353354983567,30,,"LINESTRING (6.6873297 49.7988508, 6.6872554 49.7990317, 6.6871951 49.7996787, 6.6871978 49.7997609, 6.6872346 49.8008764, 6.6872285 49.8023918, 6.6872286 49.8026369, 6.6872369 49.8030615, 6.68724 49.8032203, 6.687241 49.8036089, 6.687221 49.8038064)",,,,,,211708183,,,,,False,medium,0.01,100.0,,True
"[42853444, 42853447]",unclassified,2,"['Ostkai', 'Montanstraße']",False,False,1142.525305693773,50.0,82.26182200995166,50,,"LINESTRING (6.6982963 49.797898, 6.6980469 49.7975406, 6.6978483 49.7971504, 6.6978296 49.7969496, 6.6978347 49.7967811, 6.6978841 49.796572, 6.6979971 49.7960936, 6.6982512 49.7949772, 6.6983777 49.7944692, 6.6983923 49.7944073, 6.6995342 49.7895715, 6.699215 49.78954, 6.698104 49.7894568, 6.6980204 49.7894514, 6.6978722 49.7894405, 6.6977524 49.7894301, 6.6967623 49.7893077)",,,,,,"[42853444, 42853447]",,,,,False,medium,0.01,100.0,,True
"[26532213, 668631429]",unclassified,"['2', '3']",Hafenstraße,False,False,383.2596740558222,50.0,27.5946965320192,50,,"LINESTRING (6.6952731 49.7932187, 6.6937999 49.7928636, 6.6936855 49.792836, 6.6935216 49.7927965, 6.6923038 49.792503, 6.6917092 49.7923523, 6.6909206 49.7921618, 6.6906222 49.7920859, 6.6905404 49.7920657, 6.690423 49.7920389, 6.6902742 49.7920086)",,,,,,"[26532213, 668631429]",,,,,False,medium,0.01,100.0,,True
"[26532213, 24825927]",unclassified,2,"['Hafenstraße', 'Am Moselkai']",False,"[False, True]",658.6288087482144,50.0,47.421274229871436,50,,"LINESTRING (6.6952731 49.7932187, 6.6956598 49.7933119, 6.6957352 49.7933315, 6.6957875 49.7933566, 6.695817 49.7933773, 6.6958411 49.7934007, 6.6958505 49.7934267, 6.6958545 49.7934639, 6.6958468 49.7935186, 6.6956706 49.7942343, 6.6954472 49.7951799, 6.6953281 49.7956839, 6.6947276 49.7981929, 6.6946954 49.7983269, 6.6946444 49.7986324, 6.6946334 49.7986867, 6.6946207 49.7987161, 6.6946033 49.7987373, 6.6945724 49.7987672, 6.6945416 49.7987888, 6.694506 49.798807, 6.6944923 49.7988126)",,,,,,"[26532213, 24825927]",,,,,False,medium,0.01,100.0,,True
"[426004265, 413370833]",living_street,2,Oberstraße,False,False,102.25475777666159,19.625,18.757560662215628,,B 422,"LINESTRING (6.6828179 49.8100722, 6.6825625 49.8101204, 6.6824642 49.8101391, 6.6822716 49.8101759, 6.6820677 49.81021, 6.681988 49.8102233, 6.6819164 49.8102296, 6.6818427 49.8102318, 6.6817501 49.8102313, 6.6816308 49.8102258, 6.6815979 49.8102232, 6.6815662 49.8102194, 6.6815367 49.8102142, 6.6814322 49.8101956)",,,,,,"[426004265, 413370833]",,,,,False,,,,,False
42917669,living_street,,Fröhlicherstraße,False,True,68.42675754585781,19.625,12.552169537074553,,,"LINESTRING (6.6845294 49.8103331, 6.6845784 49.8104003, 6.6847181 49.8105816, 6.6848016 49.810729, 6.6848573 49.8109071)",,,,,,42917669,,,,,False,,,,,False
153785057,living_street,,Fröhlicherstraße,True,False,89.10397642181411,19.625,16.34518803151749,,,"LINESTRING (6.6845294 49.8103331, 6.6844373 49.8102455, 6.6842271 49.8101092, 6.6835805 49.809828)",,,,,,153785057,high,0.1,10.0,,True,medium,0.01,100.0,,True
