u,v,key,osmid,highway,lanes,name,oneway,reversed,length,speed_kph,travel_time,maxspeed,ref,geometry,width,bridge,junction,access,tunnel,elevation_avg,dist_to_river_avg,qualitativeLikelihood_high,probabilityOfOccurrence_high,returnPeriod_high,magnitudeOrIntensity_high,flooded_high,qualitativeLikelihood_medium,probabilityOfOccurrence_medium,returnPeriod_medium,magnitudeOrIntensity_medium,flooded_medium,not_flooded,cell_id,rain_3d,rain_7d,soil_moistutre
87204824,5518986511,0,"[472541314, 575053941]",secondary,2,Loebstraße,False,False,534.6747025741695,50.0,38.4965785853402,50,L 145,"LINESTRING (6.672822 49.7739646, 6.6732274 49.7740925, 6.6736746 49.7742433, 6.674015 49.7743357, 6.6741849 49.7743818, 6.6748366 49.7745456, 6.6754845 49.7747057, 6.6758271 49.7747764, 6.6761367 49.7748402, 6.6763833 49.7748841, 6.6765628 49.7749176, 6.6768321 49.7749651, 6.6782167 49.7752091, 6.6783803 49.7752379, 6.6789337 49.7753433, 6.6793121 49.7754153, 6.6798518 49.7755138)",,,,,,129.5,0.0018781147607553148,,,,,0,medium,0.01,100.0,,1,0,cell_13_7,74.4000015258789,74.4000015258789,
87204824,20909500,0,472541314,secondary,2,Loebstraße,False,True,336.7326711631987,50.0,24.24475232375031,50,L 145,"LINESTRING (6.672822 49.7739646, 6.672641 49.7739026, 6.6725168 49.7738601, 6.6719793 49.7736667, 6.6712485 49.7734037, 6.6710021 49.7733179, 6.6702976 49.7730673, 6.6699357 49.7729382, 6.6695654 49.772806, 6.6692381 49.7726892, 6.6690158 49.7726114, 6.6687146 49.7725038)",,,,,,131.0,0.002382050288920587,,,,,0,medium,0.01,100.0,,1,0,cell_12_7,74.4000015258789,74.4000015258789,
87204824,258111870,0,"[472541316, 10313694]",unclassified,2,Rudolf-Diesel-Straße,False,True,244.63826358111845,50.0,17.613954977840528,50,,"LINESTRING (6.672822 49.7739646, 6.6729199 49.7738506, 6.6733263 49.773377, 6.6734666 49.7732136, 6.6736037 49.7730538, 6.6744734 49.7720403)",,,,,,129.5,0.0031315225206980865,,,,,0,medium,0.01,100.0,,1,0,cell_13_7,74.4000015258789,74.4000015258789,
87206700,258184699,0,10313721,residential,,Nalbachstraße,False,True,74.45831751553354,30.0,8.934998101864025,30,,"LINESTRING (6.6526314 49.7655591, 6.652597 49.7656017, 6.65231 49.7658208, 6.6519754 49.7660762)",,,,,,133.0,0.0069367919996396075,,,,,0,medium,0.01,100.0,,1,0,cell_10_6,74.4000015258789,74.4000015258789,
87206700,256593959,0,23697164,living_street,,Gärtnerstraße,False,False,151.75390213332162,15.553191489361701,35.125527005414526,,,"LINESTRING (6.6526314 49.7655591, 6.6514619 49.7649511, 6.6512558 49.764844, 6.6509826 49.7647057)",,,,,,134.0,0.0075251942994247695,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
87206700,1862659706,0,518814396,living_street,,Gärtnerstraße,False,True,88.19983492189607,15.553191489361701,20.415064389582508,,,"LINESTRING (6.6526314 49.7655591, 6.653511 49.7659897, 6.6535671 49.7660154, 6.653611 49.7660374)",,,,,,133.0,0.007068802132595807,,,,,0,,,,,0,1,cell_10_6,74.4000015258789,74.4000015258789,
87207023,256593965,0,366234173,residential,,Max-Brandts-Straße,False,True,143.7102899843232,30.0,17.245234798118783,30,,"LINESTRING (6.6513187 49.7666075, 6.6497422 49.7658116)",,,,,,131.5,0.006252024382452887,,,,,0,medium,0.01,100.0,,1,0,cell_10_6,74.4000015258789,74.4000015258789,
87207023,258184699,0,10313721,residential,,Nalbachstraße,False,False,75.59606031694742,30.0,9.07152723803369,30,,"LINESTRING (6.6513187 49.7666075, 6.6516469 49.766342, 6.6519754 49.7660762)",,,,,,132.5,0.006317954901309385,,,,,0,medium,0.01,100.0,,1,0,cell_10_6,74.4000015258789,74.4000015258789,
87207023,3254825985,0,24751820,residential,,Am Stadion,False,False,460.2066356674889,33.595391008689084,49.3146184241303,,,"LINESTRING (6.6513187 49.7666075, 6.6515912 49.766746, 6.6517176 49.7668103, 6.6519582 49.7669285, 6.6519992 49.7669478, 6.6520285 49.7669726, 6.6520546 49.7670103, 6.6520487 49.7670372, 6.6520203 49.7670769, 6.6519768 49.7671147, 6.6513266 49.7676387, 6.650964 49.7679563, 6.6507655 49.768138, 6.6506631 49.7682581, 6.6506484 49.7682735, 6.6504248 49.7684991, 6.6502529 49.7686711, 6.6500846 49.7688709, 6.6498617 49.7691347, 6.6496394 49.7694159, 6.6492433 49.7699373, 6.6492064 49.769983)",5.3,,,,,132.0,0.004151907574928736,,,,,0,medium,0.01,100.0,,1,0,cell_10_7,74.4000015258789,74.4000015258789,
87209201,1824876269,0,9809930,residential,,Am Grüneberg,False,False,270.6059911921389,30.0,32.47271894305667,30,,"LINESTRING (6.6719736 49.7661554, 6.6718972 49.7661366, 6.671826 49.766106, 6.6715861 49.7659459, 6.6712407 49.765742, 6.6708927 49.7655137, 6.6705501 49.7652716, 6.6699433 49.764851, 6.6693152 49.7644404)",,,,,,149.0,0.010175949688676222,,,,,0,,,,,0,1,cell_12_6,78.69999694824219,78.69999694824219,
